Name,Total Return %,Total Return $,Created At,Expiration,Net Debit/Credit,Chance,Max Loss,Max Profit,High,Low,Delta,Theta,Gamma,Vega,Rho,IV,Link,Group
Symbol,Quantity,Entry Price,Current Price,Close Price,,,,,,,,,,,,,,
.IWM260501C270,-1, $1.72 , $1.41 ,,,,,,,,,,,,,,,
.IWM260501C275,1, $0.94 , $0.77 ,,,,,,,,,,,,,,,
MRK Apr 17th 100/105 Bull Put Spread,40.63%, $26.00 ,3/5/26 20:27,4/17/26 20:00, $64.00 ,92.82%, $436.00 , $64.00 ,141.41%,-46.87%,6.07222271,1.414990425,-0.774860382,-2.311733246,0.465854943,40.76%,Open,Live
.MRK260417P100,1, $0.91 , $0.44 ,,,,,,,,,,,,,,,
.MRK260417P105,-1, $1.55 , $0.81 ,,,,,,,,,,,,,,,
MRNA Apr 17th 40/45 Bull Put Spread,-7.69%, $(5.00),3/11/26 17:22,4/17/26 20:00, $65.00 ,80.44%, $435.00 , $65.00 ,84.62%,-86.15%,10.5783329,1.808452606,-1.25169754,-1.47381711,0.374853581,80.80%,Open,Live
.MRNA260417P40,1, $0.56 , $0.57 ,,,,,,,,,,,,,,,
.MRNA260417P45,-1, $1.21 , $1.27 ,,,,,,,,,,,,,,,
MRVL Apr 17th 70/75 Bull Put Spread,40.52%, $23.50 ,3/9/26 19:18,4/17/26 20:00, $58.00 ,96.04%, $442.00 , $58.00 ,93.97%,-32.76%,4.4298172,1.667547226,-0.476837158,-1.504527092,0.277295679,65.11%,Open,Live
.MRVL260417P70,1, $0.84 , $0.38 ,,,,,,,,,,,,,,,
.MRVL260417P75,-1, $1.42 , $0.72 ,,,,,,,,,,,,,,,
MSTR May 1st 170/175 Bear Call Spread,-61.90%, $(39.00),3/20/26 17:01,5/1/26 20:00, $63.00 ,83.86%, $437.00 , $63.00 ,246.83%,-95.24%,-4.836320877,2.251625061,-0.238418579,-1.927650452,-0.590920448,68.08%,Open,Live
.MSTR260501C170,-1, $3.55 , $3.33 ,,,,,,,,,,,,,,,
.MSTR260501C175,1, $2.92 , $2.31 ,,,,,,,,,,,,,,,
NFLX May 1st 103/108 Bear Call Spread,-9.38%, $(6.00),3/20/26 16:54,5/1/26 20:00, $64.00 ,82.18%, $436.00 , $64.00 ,4.69%,-66.41%,-9.972751617,1.541805267,-0.894069672,-2.919530392,-0.894456983,36.93%,Open,Live
.NFLX260501C103,-1, $1.18 , $1.30 ,,,,,,,,,,,,,,,
.NFLX260501C108,1, $0.54 , $0.60 ,,,,,,,,,,,,,,,
NKE Apr 24th 62/67 Bear Call Spread,42.64%, $27.50 ,3/16/26 18:49,4/24/26 20:00, $64.50 ,85.73%, $435.50 , $64.50 ,202.33%,-74.42%,-10.24015236,1.671159267,-1.966953278,-2.203547239,-0.434853077,43.04%,Open,Live
.NKE260424C62,-1, $1.02 , $0.46 ,,,,,,,,,,,,,,,
.NKE260424C67,1, $0.38 , $0.09 ,,,,,,,,,,,,,,,
NVDA Apr 17th 155/160 Bull Put Spread,2.05%, $1.50 ,3/4/26 19:17,4/17/26 20:00, $73.00 ,80.23%, $427.00 , $73.00 ,128.77%,-60.96%,5.927085876,1.855945587,-0.476837158,-2.691525459,0.673949599,42.85%,Open,Live
.NVDA260417P155,1, $2.68 , $1.32 ,,,,,,,,,,,,,,,
.NVDA260417P160,-1, $3.41 , $2.03 ,,,,,,,,,,,,,,,
ORCL May 1st 125/130 Bull Put Spread,-19.64%, $(16.50),3/20/26 16:56,5/1/26 20:00, $84.00 ,77.24%, $416.00 , $84.00 ,69.05%,-77.38%,4.987716675,1.404762268,0,-2.198982239,0.78725791,58.76%,Open,Live
.ORCL260501P125,1, $2.61 , $2.52 ,,,,,,,,,,,,,,,
.ORCL260501P130,-1, $3.45 , $3.53 ,,,,,,,,,,,,,,,
PATH Jan 15th '27 8 Long Call,-40.58%, $(312.50),1/22/26 14:50,1/15/27 21:00, $(770.00),30.53%, $770.00 , Infinity ,10.71%,-54.87%,80.60455322,-0.406265259,3.814697266,2.752828598,3.560304165,77.74%,Open,Live
.PATH270115C8,1, $7.70 , $4.57 ,,,,,,,,,,,,,,,
SOFI Jun 18th '26 10 Long Call,23.04%, $132.50 ,3/5/25 19:58,6/18/26 20:00, $(575.00),56.14%, $575.00 , Infinity ,301.30%,-60.96%,93.48869324,-0.588226318,1.907348633,1.034092903,2.029418707,82.36%,Open,Live
.SOFI260618C10,1, $5.75 , $7.07 ,,,,,,,,,,,,,,,
STZ Apr 17th 165/170 Bear Call Spread,-29.17%, $(17.50),3/5/26 20:25,4/17/26 20:00, $60.00 ,76.72%, $440.00 , $60.00 ,204.17%,-154.17%,-8.639095306,1.846790314,-0.715255737,-2.784842491,-0.836312771,34.68%,Open,Live
.STZ260417C165,-1, $2.09 , $1.98 ,,,,,,,,,,,,,,,
.STZ260417C170,1, $1.49 , $1.20 ,,,,,,,,,,,,,,,
UNH May 1st 315/320 Bear Call Spread,-1.69%, $(1.00),3/23/26 17:51,5/1/26 20:00, $59.00 ,86.44%, $441.00 , $59.00 ,143.22%,-171.19%,-2.703666687,1.522064209,0,-2.53093338,-0.702261925,42.30%,Open,Live
.UNH260501C315,-1, $3.27 , $2.85 ,,,,,,,,,,,,,,,
.UNH260501C320,1, $2.68 , $2.24 ,,,,,,,,,,,,,,,
WFC Apr 24th 84/89 Bear Call Spread,-55.00%, $(33.00),3/16/26 18:46,4/24/26 20:00, $60.00 ,75.41%, $440.00 , $60.00 ,141.67%,-126.67%,-16.99447632,2.072024345,-1.728534698,-3.3240242,-1.064881563,33.67%,Open,Live
.WFC260424C84,-1, $0.91 , $1.35 ,,,,,,,,,,,,,,,
.WFC260424C89,1, $0.31 , $0.42 ,,,,,,,,,,,,,,,
WMT Apr 24th 129/135 Bear Call Spread,-6.06%, $(4.00),3/19/26 15:23,4/24/26 20:00, $66.00 ,78.31%, $534.00 , $66.00 ,157.58%,-78.03%,-14.2909584,1.910161972,-1.937150955,-5.180831432,-1.435503244,22.82%,Open,Live
.WMT260424C129,-1, $1.04 , $1.03 ,,,,,,,,,,,,,,,
.WMT260424C135,1, $0.38 , $0.33 ,,,,,,,,,,,,,,,
