Name,Total Return %,Total Return $,Created At,Expiration,Net Debit/Credit,Chance,Max Loss,Max Profit,High,Low,Delta,Theta,Gamma,Vega,Rho,IV,Link,Group
Symbol,Quantity,Entry Price,Current Price,Close Price,,,,,,,,,,,,,,
AAPL Apr 17th 235/240 Bull Put Spread,-45.08%, $(27.50),3/4/26 19:06,4/17/26 20:00, $61.00 ,73.28%, $439.00 , $61.00 ,240.98%,-162.30%,6.495714188,1.190757751,-0.238418579,-3.258573532,1.036405563,31.39%,Open,Live
.AAPL260417P235,1, $2.32 , $2.32 ,,,,,,,,,,,,,,,
.AAPL260417P240,-1, $2.93 , $3.20 ,,,,,,,,,,,,,,,
AMD Apr 24th 230/235 Bear Call Spread,-19.38%, $(12.50),3/13/26 16:39,4/24/26 20:00, $64.50 ,82.76%, $435.50 , $64.50 ,109.30%,-165.89%,-4.185438156,1.748085022,-0.238418579,-2.228832245,-0.67639327,47.12%,Open,Live
.AMD260424C230,-1, $3.17 , $3.13 ,,,,,,,,,,,,,,,
.AMD260424C235,1, $2.53 , $2.36 ,,,,,,,,,,,,,,,
AMZN May 1st 185/190 Bull Put Spread,-11.80%, $(9.50),3/17/26 16:43,5/1/26 20:00, $80.50 ,76.37%, $419.50 , $80.50 ,165.22%,-123.60%,4.321336746,1.076316833,0.238418579,-2.601552963,0.948309898,44.99%,Open,Live
.AMZN260501P185,1, $2.80 , $3.03 ,,,,,,,,,,,,,,,
.AMZN260501P190,-1, $3.60 , $3.93 ,,,,,,,,,,,,,,,
AMZN Apr 24th 230/235 Bear Call Spread,20.83%, $15.00 ,3/13/26 16:43,4/24/26 20:00, $72.00 ,88.04%, $428.00 , $72.00 ,54.17%,-504.17%,-5.585551262,1.866388321,-0.476837158,-3.96065712,-0.979334116,27.61%,Open,Live
.AMZN260424C230,-1, $2.10 , $1.36 ,,,,,,,,,,,,,,,
.AMZN260424C235,1, $1.38 , $0.79 ,,,,,,,,,,,,,,,
AVGO May 1st 365/370 Bear Call Spread,30.00%, $22.50 ,3/19/26 15:26,5/1/26 20:00, $75.00 ,83.54%, $425.00 , $75.00 ,297.33%,-4566.00%,-2.164840698,0.785064697,0,-1.971662521,-0.68855238,41.38%,Open,Live
.AVGO260501C365,-1, $4.57 , $4.65 ,,,,,,,,,,,,,,,
.AVGO260501C370,1, $3.82 , $4.13 ,,,,,,,,,,,,,,,
BABA May 1st 140/145 Bear Call Spread,-14.18%, $(9.50),3/23/26 18:03,5/1/26 20:00, $67.00 ,82.63%, $433.00 , $67.00 ,5.97%,-24.63%,-7.412433624,1.372146606,-0.476837158,-2.65312767,-0.916063786,38.52%,Open,Live
.BABA260501C140,-1, $1.81 , $2.00 ,,,,,,,,,,,,,,,
.BABA260501C145,1, $1.14 , $1.23 ,,,,,,,,,,,,,,,
C Apr 17th 95/100 Bull Put Spread,18.06%, $13.00 ,3/4/26 18:57,4/17/26 20:00, $72.00 ,81.44%, $428.00 , $72.00 ,84.03%,-261.81%,6.808638573,1.641941071,-0.715255737,-2.169585228,0.518143177,50.93%,Open,Live
.C260417P95,1, $1.38 , $0.81 ,,,,,,,,,,,,,,,
.C260417P100,-1, $2.10 , $1.40 ,,,,,,,,,,,,,,,
COIN May 1st 155/160 Bull Put Spread,0.00%, $ -    ,3/18/26 19:17,5/1/26 20:00, $70.00 ,81.95%, $430.00 , $70.00 ,195.71%,-262.14%,2.269744873,1.214790344,0.476837158,-1.644551277,0.511765242,76.72%,Open,Live
.COIN260501P155,1, $3.37 , $3.47 ,,,,,,,,,,,,,,,
.COIN260501P160,-1, $4.07 , $4.18 ,,,,,,,,,,,,,,,
CRM Apr 17th 170/175 Bull Put Spread,11.43%, $8.00 ,3/5/26 19:53,4/17/26 20:00, $70.00 ,82.51%, $430.00 , $70.00 ,65.00%,-96.43%,4.245042801,1.633930206,-0.476837158,-2.298295975,0.562131405,48.38%,Open,Live
.CRM260417P170,1, $2.34 , $1.63 ,,,,,,,,,,,,,,,
.CRM260417P175,-1, $3.04 , $2.26 ,,,,,,,,,,,,,,,
CSCO Apr 17th 67.5/72.5 Bull Put Spread,29.73%, $16.50 ,3/6/26 18:11,4/17/26 20:00, $55.50 ,85.63%, $444.50 , $55.50 ,55.86%,-115.32%,9.698718071,1.316893101,-1.937150955,-2.454029799,0.514946818,37.99%,Open,Live
.CSCO260417P67.5,1, $0.52 , $0.25 ,,,,,,,,,,,,,,,
.CSCO260417P72.5,-1, $1.07 , $0.63 ,,,,,,,,,,,,,,,
DPRO Jan 15th '27 5 Long Call,-41.11%, $(185.00),11/6/25 19:13,1/15/27 21:00, $(450.00),33.29%, $450.00 , Infinity ,51.11%,-55.56%,76.59554291,-0.306129456,5.483627319,1.723182201,1.725911856,97.95%,Open,Live
