Name,Total Return %,Total Return $,Created At,Expiration,Net Debit/Credit,Chance,Max Loss,Max Profit,High,Low,Delta,Theta,Gamma,Vega,Rho,IV,Link,Group
.AVGO260501C370,1, $3.82 , $4.25 ,,,,,,,,,,,,,,,
BABA May 1st 140/145 Bear Call Spread,-14.93%, $(10.00),3/23/26 18:03,5/1/26 20:00, $67.00 ,80.27%, $433.00 , $67.00 ,5.97%,-24.63%,-7.475019455,1.314926147,-0.596046448,-2.618211746,-0.928521156,38.22%,Open,Live
.BABA260501C140,-1, $1.81 , $2.05 ,,,,,,,,,,,,,,,
.BABA260501C145,1, $1.14 , $1.29 ,,,,,,,,,,,,,,,
C Apr 17th 95/100 Bull Put Spread,20.14%, $14.50 ,3/4/26 18:57,4/17/26 20:00, $72.00 ,82.32%, $428.00 , $72.00 ,84.03%,-261.81%,6.644128799,1.594734192,-0.357627869,-2.129313469,0.507354736,51.35%,Open,Live
.C260417P95,1, $1.38 , $0.83 ,,,,,,,,,,,,,,,
.C260417P100,-1, $2.10 , $1.40 ,,,,,,,,,,,,,,,
COIN May 1st 155/160 Bull Put Spread,-3.57%, $(2.50),3/18/26 19:17,5/1/26 20:00, $70.00 ,84.11%, $430.00 , $70.00 ,195.71%,-262.14%,2.226829529,1.348686218,0.476837158,-1.676487923,0.513314962,78.22%,Open,Live
.COIN260501P155,1, $3.37 , $3.38 ,,,,,,,,,,,,,,,
.COIN260501P160,-1, $4.07 , $4.10 ,,,,,,,,,,,,,,,
CRM Apr 17th 170/175 Bull Put Spread,10.71%, $7.50 ,3/5/26 19:53,4/17/26 20:00, $70.00 ,82.00%, $430.00 , $70.00 ,65.00%,-96.43%,4.286170006,1.629638672,-0.11920929,-2.308339119,0.567555428,48.19%,Open,Live
.CRM260417P170,1, $2.34 , $1.64 ,,,,,,,,,,,,,,,
.CRM260417P175,-1, $3.04 , $2.27 ,,,,,,,,,,,,,,,
CSCO Apr 17th 67.5/72.5 Bull Put Spread,31.53%, $17.50 ,3/6/26 18:11,4/17/26 20:00, $55.50 ,87.22%, $444.50 , $55.50 ,55.86%,-115.32%,9.494796753,1.301944256,-1.832842827,-2.430917501,0.50599122,37.99%,Open,Live
.CSCO260417P67.5,1, $0.52 , $0.24 ,,,,,,,,,,,,,,,
.CSCO260417P72.5,-1, $1.07 , $0.62 ,,,,,,,,,,,,,,,
DPRO Jan 15th '27 5 Long Call,-41.11%, $(185.00),11/6/25 19:13,1/15/27 21:00, $(450.00),33.25%, $450.00 , Infinity ,51.11%,-55.56%,76.55859375,-0.30670166,5.722045898,1.721656322,1.717090368,98.46%,Open,Live
.DPRO270115C5,1, $4.50 , $2.65 ,,,,,,,,,,,,,,,
GOOGL May 1st 270/275 Bull Put Spread,4.07%, $3.50 ,3/19/26 15:27,5/1/26 20:00, $86.00 ,78.76%, $414.00 , $86.00 ,53.49%,-100.00%,3.187656403,1.012802124,-0.476837158,-2.842414856,0.999330997,40.21%,Open,Live
.GOOGL260501P270,1, $4.17 , $3.83 ,,,,,,,,,,,,,,,
.GOOGL260501P275,-1, $5.03 , $4.65 ,,,,,,,,,,,,,,,
HOOD May 1st 88/95 Bear Call Spread,-3.38%, $(2.50),3/20/26 16:59,5/1/26 20:00, $74.00 ,83.98%, $626.00 , $74.00 ,20.27%,-20.27%,-8.894802094,1.672697067,-0.476837158,-2.102589607,-0.611364841,61.42%,Open,Live
.HOOD260501C88,-1, $1.59 , $1.55 ,,,,,,,,,,,,,,,
.HOOD260501C95,1, $0.85 , $0.78 ,,,,,,,,,,,,,,,
HUMA Jan 15th '27 1.5 Long Call,-85.48%, $(132.50),7/16/25 14:31,1/15/27 21:00, $(155.00),9.56%, $155.00 , Infinity ,1190.32%,-90.32%,52.05847549,-0.064229965,43.04945374,0.306896865,0.178664908,120.11%,Open,Live
.HUMA270115C1.5,1, $1.55 , $0.22 ,,,,,,,,,,,,,,,
IWM May 1st 270/275 Bear Call Spread,0.65%, $0.50 ,3/17/26 16:23,5/1/26 20:00, $77.50 ,85.67%, $422.50 , $77.50 ,101.94%,-30.97%,-6.147623062,2.017307281,-0.476837158,-5.405051231,-1.551776886,23.84%,Open,Live
.IWM260501C270,-1, $1.72 , $1.75 ,,,,,,,,,,,,,,,
.IWM260501C275,1, $0.94 , $0.98 ,,,,,,,,,,,,,,,
MRK Apr 17th 100/105 Bull Put Spread,41.41%, $26.50 ,3/5/26 20:27,4/17/26 20:00, $64.00 ,86.01%, $436.00 , $64.00 ,141.41%,-46.87%,6.438344955,1.392745972,-0.923871994,-2.502834797,0.504970491,37.50%,Open,Live
.MRK260417P100,1, $0.91 , $0.38 ,,,,,,,,,,,,,,,
.MRK260417P105,-1, $1.55 , $0.75 ,,,,,,,,,,,,,,,
MRNA Apr 17th 40/45 Bull Put Spread,-12.31%, $(8.00),3/11/26 17:22,4/17/26 20:00, $65.00 ,81.57%, $435.00 , $65.00 ,84.62%,-86.15%,11.37524796,2.226877213,-1.37090683,-1.731954575,0.419229239,73.79%,Open,Live
.MRNA260417P40,1, $0.56 , $0.39 ,,,,,,,,,,,,,,,
.MRNA260417P45,-1, $1.21 , $1.12 ,,,,,,,,,,,,,,,
MRVL Apr 17th 70/75 Bull Put Spread,43.97%, $25.50 ,3/9/26 19:18,4/17/26 20:00, $58.00 ,89.57%, $442.00 , $58.00 ,93.97%,-32.76%,4.348903656,1.402688026,-0.566244125,-1.450240612,0.277414888,63.99%,Open,Live
.MRVL260417P70,1, $0.84 , $0.43 ,,,,,,,,,,,,,,,
.MRVL260417P75,-1, $1.42 , $0.75 ,,,,,,,,,,,,,,,
MSTR May 1st 170/175 Bear Call Spread,-1.59%, $(1.00),3/20/26 17:01,5/1/26 20:00, $63.00 ,82.56%, $437.00 , $63.00 ,246.83%,-95.24%,-3.422498703,1.148414612,0.238418579,-1.343024254,-0.437855721,67.54%,Open,Live
.MSTR260501C170,-1, $3.55 , $3.28 ,,,,,,,,,,,,,,,
.MSTR260501C175,1, $2.92 , $2.63 ,,,,,,,,,,,,,,,
NFLX May 1st 103/108 Bear Call Spread,-30.47%, $(19.50),3/20/26 16:54,5/1/26 20:00, $64.00 ,79.77%, $436.00 , $64.00 ,4.69%,-66.41%,-11.01940918,1.566410065,-0.894069672,-2.96199894,-1.014083505,36.78%,Open,Live
.NFLX260501C103,-1, $1.18 , $1.57 ,,,,,,,,,,,,,,,
.NFLX260501C108,1, $0.54 , $0.74 ,,,,,,,,,,,,,,,
NKE Apr 24th 62/67 Bear Call Spread,31.01%, $20.00 ,3/16/26 18:49,4/24/26 20:00, $64.50 ,91.20%, $435.50 , $64.50 ,202.33%,-74.42%,-11.35174179,1.919031143,-1.959502697,-2.409810543,-0.488616467,44.36%,Open,Live
.NKE260424C62,-1, $1.02 , $0.53 ,,,,,,,,,,,,,,,
.NKE260424C67,1, $0.38 , $0.09 ,,,,,,,,,,,,,,,
NVDA Apr 17th 155/160 Bull Put Spread,13.01%, $9.50 ,3/4/26 19:17,4/17/26 20:00, $73.00 ,82.20%, $427.00 , $73.00 ,128.77%,-60.96%,5.248188019,1.759529114,-0.357627869,-2.59845829,0.626563907,43.62%,Open,Live
.NVDA260417P155,1, $2.68 , $1.23 ,,,,,,,,,,,,,,,
.NVDA260417P160,-1, $3.41 , $1.87 ,,,,,,,,,,,,,,,
ORCL May 1st 125/130 Bull Put Spread,30.36%, $25.50 ,3/20/26 16:56,5/1/26 20:00, $84.00 ,82.50%, $416.00 , $84.00 ,67.26%,-77.38%,3.378391266,0.932121277,-0.476837158,-1.851231575,0.567555428,60.39%,Open,Live
.ORCL260501P125,1, $2.61 , $2.06 ,,,,,,,,,,,,,,,
.ORCL260501P130,-1, $3.45 , $2.64 ,,,,,,,,,,,,,,,
PATH Jan 15th '27 8 Long Call,-36.04%, $(277.50),1/22/26 14:50,1/15/27 21:00, $(770.00),33.57%, $770.00 , Infinity ,10.71%,-54.87%,86.75813293,-0.289535522,3.337860107,2.347493172,4.567384243,58.19%,Open,Live
.PATH270115C8,1, $7.70 , $4.93 ,,,,,,,,,,,,,,,
SOFI Jun 18th '26 10 Long Call,33.04%, $190.00 ,3/5/25 19:58,6/18/26 20:00, $(575.00),57.75%, $575.00 , Infinity ,301.30%,-60.96%,91.71485901,-0.812530518,1.907348633,1.27966404,1.930236578,98.32%,Open,Live
.SOFI260618C10,1, $5.75 , $7.65 ,,,,,,,,,,,,,,,
STZ Apr 17th 165/170 Bear Call Spread,-12.50%, $(7.50),3/5/26 20:25,4/17/26 20:00, $60.00 ,82.19%, $440.00 , $60.00 ,204.17%,-154.17%,-7.2234869,1.802444458,-0.357627869,-2.55991745,-0.707030177,37.83%,Open,Live
.STZ260417C165,-1, $2.09 , $1.83 ,,,,,,,,,,,,,,,
.STZ260417C170,1, $1.49 , $1.15 ,,,,,,,,,,,,,,,
UNH May 1st 315/320 Bear Call Spread,-52.54%, $(31.00),3/23/26 17:51,5/1/26 20:00, $59.00 ,86.42%, $441.00 , $59.00 ,27.97%,-69.49%,-3.47495079,2.264785767,-0.238418579,-3.159236908,-0.904679298,44.04%,Open,Live
.UNH260501C315,-1, $3.27 , $3.33 ,,,,,,,,,,,,,,,
.UNH260501C320,1, $2.68 , $2.42 ,,,,,,,,,,,,,,,
WFC Apr 24th 84/89 Bear Call Spread,-44.17%, $(26.50),3/16/26 18:46,4/24/26 20:00, $60.00 ,77.13%, $440.00 , $60.00 ,141.67%,-126.67%,-15.88061333,1.825332642,-1.817941666,-3.118953228,-1.017793894,34.10%,Open,Live
.WFC260424C84,-1, $0.91 , $1.33 ,,,,,,,,,,,,,,,
.WFC260424C89,1, $0.31 , $0.46 ,,,,,,,,,,,,,,,
WMT Apr 24th 129/135 Bear Call Spread,-4.55%, $(3.00),3/19/26 15:23,4/24/26 20:00, $66.00 ,84.31%, $534.00 , $66.00 ,157.58%,-78.03%,-12.95104694,2.214932442,-1.519918442,-5.198690414,-1.307159424,24.77%,Open,Live
.WMT260424C129,-1, $1.04 , $0.95 ,,,,,,,,,,,,,,,
.WMT260424C135,1, $0.38 , $0.26 ,,,,,,,,,,,,,,,
