Name,Total Return %,Total Return $,Created At,Expiration,Net Debit/Credit,Chance,Max Loss,Max Profit,High,Low,Delta,Theta,Gamma,Vega,Rho,IV,Link,Group
Symbol,Quantity,Entry Price,Current Price,Close Price,,,,,,,,,,,,,,
AAPL Apr 17th 235/240 Bull Put Spread,-36.89%, $(22.50),3/4/26 19:06,4/17/26 20:00, $61.00 ,74.15%, $439.00 , $61.00 ,240.98%,-162.30%,6.301403046,1.198196411,-0.476837158,-3.299345016,1.013517141,31.14%,Open,Live
.AAPL260417P235,1, $2.32 , $2.18 ,,,,,,,,,,,,,,,
.AAPL260417P240,-1, $2.93 , $3.01 ,,,,,,,,,,,,,,,
AMD Apr 24th 230/235 Bear Call Spread,-27.91%, $(18.00),3/13/26 16:39,4/24/26 20:00, $64.50 ,81.02%, $435.50 , $64.50 ,109.30%,-165.89%,-4.360675812,1.738929749,-0.476837158,-2.218783379,-0.708579779,47.00%,Open,Live
.AMD260424C230,-1, $3.17 , $3.40 ,,,,,,,,,,,,,,,
.AMD260424C235,1, $2.53 , $2.58 ,,,,,,,,,,,,,,,
AMZN May 1st 185/190 Bull Put Spread,-10.56%, $(8.50),3/17/26 16:43,5/1/26 20:00, $80.50 ,77.37%, $419.50 , $80.50 ,165.22%,-123.60%,4.2283535,1.104354858,0.238418579,-2.599262238,0.935077667,45.44%,Open,Live
.AMZN260501P185,1, $2.80 , $2.98 ,,,,,,,,,,,,,,,
.AMZN260501P190,-1, $3.60 , $3.88 ,,,,,,,,,,,,,,,
AMZN Apr 24th 230/235 Bear Call Spread,22.92%, $16.50 ,3/13/26 16:43,4/24/26 20:00, $72.00 ,86.28%, $428.00 , $72.00 ,54.17%,-504.17%,-5.619227409,1.786136627,-0.178813934,-3.975653648,-0.991672277,26.82%,Open,Live
.AMZN260424C230,-1, $2.10 , $1.34 ,,,,,,,,,,,,,,,
.AMZN260424C235,1, $1.38 , $0.78 ,,,,,,,,,,,,,,,
AVGO May 1st 365/370 Bear Call Spread,-6.67%, $(5.00),3/19/26 15:26,5/1/26 20:00, $75.00 ,81.52%, $425.00 , $75.00 ,297.33%,-4566.00%,-2.794265747,1.345825195,0,-2.461946487,-0.882148266,41.02%,Open,Live
.AVGO260501C365,-1, $4.57 , $5.05 ,,,,,,,,,,,,,,,
